project,textid,sender_city,genre
atae-burmarina,P522654,,Legal Transaction
atae-burmarina,P522614,,Legal Transaction
atae-burmarina,P522643,,Legal Transaction
atae-burmarina,P522637,,Legal Transaction
atae-burmarina,P522646,,Legal Transaction
atae-burmarina,P522648,,Legal Transaction
atae-ctn1,P224671,,Administrative Record
atae-ctn1,P370848,,Administrative Record
atae-ctn1,P224662,,Administrative Record
atae-ctn1,P370853,,Administrative Record
atae-ctn1,P370865,,Administrative Record
atae-ctn1,P224657,,Administrative Record
atae-ctn1,P224656,,Administrative Record
atae-ctn1,P370847,,Administrative Record
atae-ctn1,P224685,,Administrative Record
atae-ctn1,P370849,,Administrative Record
atae-ctn1,P224673,,Administrative Record
atae-ctn1,P224655,,Administrative Record
atae-ctn1,P224654,,Administrative Record
atae-ctn1,P224665,,Administrative Record
atae-ctn1,P225261,,Administrative Record
atae-ctn1,P224668,,Administrative Record
atae-ctn1,P224680,,Administrative Record
atae-ctn1,P370858,,Administrative Record
atae-ctn1,P224688,,Administrative Record
atae-ctn1,P370850,,Administrative Record
atae-ctn1,P224666,,Administrative Record
atae-ctn1,P224682,,Administrative Record
atae-ctn1,P224683,,Administrative Record
atae-ctn1,P370851,,Administrative Record
atae-ctn1,P370852,,Administrative Record
atae-ctn1,P370857,,Administrative Record
atae-ctn1,P370856,,Administrative Record
atae-ctn1,P370862,,Administrative Record
atae-ctn1,P224670,,Administrative Record
atae-ctn1,P224674,,Administrative Record
atae-ctn1,P370860,,Administrative Record
atae-ctn1,P224672,,Administrative Record
atae-ctn1,P370878,,Administrative Record
atae-ctn2,P471611,,Legal Transaction
atae-ctn2,P224545,,Legal Transaction
atae-ctn2,P471623,,Legal Transaction
atae-ctn2,P428855,,Administrative Record
atae-ctn2,P471619,,Administrative Record
atae-ctn2,P469387,,Legal Transaction
atae-ctn2,P224607,,Legal Transaction
atae-ctn2,P428826,,Legal Transaction
atae-ctn2,P428832,,Legal Transaction
atae-ctn2,P224579,,Legal Transaction
atae-ctn2,P224531,,Legal Transaction
atae-ctn2,P428842,,Administrative Record
atae-ctn2,P428864,,Administrative Record
atae-ctn2,P224543,,Administrative Letter
atae-ctn2,P224527,,Legal Transaction
atae-ctn2,P224562,,Legal Transaction
atae-ctn2,P469193,,Legal Transaction
atae-ctn2,P224563,,Legal Transaction
atae-ctn2,P471615,,Administrative Record
atae-ctn2,P224547,,Administrative Letter
atae-ctn2,P471631,,Administrative Letter
atae-ctn2,P428824,,Legal Transaction
atae-ctn2,P428815,,Legal Transaction
atae-ctn2,P428819,,Administrative Record
atae-ctn2,P224569,,Administrative Record
atae-ctn2,P469184,,Legal Transaction
atae-ctn2,P428833,,Administrative Letter
atae-ctn2,P224618,,Legal Transaction
atae-ctn2,P224567,,Legal Transaction
atae-ctn2,P224638,,Legal Transaction
atae-ctn2,P224526,,Legal Transaction
atae-ctn2,P428796,,Legal Transaction
atae-ctn2,P224620,,Legal Transaction
atae-ctn2,P428798,,Legal Transaction
atae-ctn2,P469386,,Legal Transaction
atae-ctn2,P224524,,Legal Transaction
atae-ctn2,P224605,,Legal Transaction
atae-ctn2,P471638,,Administrative Letter
atae-ctn2,P428882,,Administrative Record
atae-ctn2,P224542,,Administrative Letter
atae-ctn2,P469194,,Legal Transaction
atae-ctn2,P224647,,Administrative Record
atae-ctn2,P224506,,Legal Transaction
atae-ctn2,P224613,,Legal Transaction
atae-ctn2,P428836,,Legal Transaction
atae-ctn2,P224610,,Administrative Record
atae-ctn2,P224572,,Administrative Record
atae-ctn2,P224554,,Administrative Record
atae-ctn2,P428818,,Legal Transaction
atae-ctn2,X001001,,Legal Transaction
atae-ctn2,P224596,,Legal Transaction
atae-ctn2,P428862,,Legal Transaction
atae-ctn2,P224552,,Administrative Record
atae-ctn2,P224508,,Legal Transaction
atae-ctn2,P224516,,Legal Transaction
atae-ctn2,P428857,,Administrative Record
atae-ctn2,P471627,,Administrative Letter
atae-ctn2,P428801,,Legal Transaction
atae-ctn2,P224629,,Administrative Letter
atae-ctn2,P224609,,Legal Transaction
atae-ctn2,P428808,,Legal Transaction
atae-ctn2,P224546,,Administrative Record
atae-ctn2,P471642,,Legal Transaction
atae-ctn2,P471622,,Administrative Record
atae-ctn2,P428847,,Administrative Letter
atae-ctn2,P428849,,Administrative Record
atae-ctn2,P428800,,Legal Transaction
atae-ctn2,P224560,,Administrative Record
atae-ctn2,P224608,,Legal Transaction
atae-ctn2,P224606,,Legal Transaction
atae-ctn2,P428792,,Administrative Record
atae-ctn2,P471630,,Administrative Letter
atae-ctn2,P428827,,Legal Transaction
atae-ctn2,P428821,,Legal Transaction
atae-ctn2,P224525,,Legal Transaction
atae-ctn2,P224637,,Legal Transaction
atae-ctn2,P224576,,Administrative Record
atae-ctn2,P428866,,Legal Transaction
atae-ctn2,P428869,,Administrative Record
atae-ctn2,P224626,,Administrative Record
atae-ctn2,P471636,,Administrative Letter
atae-ctn2,P468987,,Legal Transaction
atae-ctn2,P224556,,Administrative Record
atae-ctn2,P428817,,Legal Transaction
atae-ctn2,P428865,,Administrative Record
atae-ctn2,P224574,,Legal Transaction
atae-ctn2,P469384,,Legal Transaction
atae-ctn2,P224615,,Legal Transaction
atae-ctn2,P428811,,Administrative Record
atae-ctn2,P428846,,Administrative Record
atae-ctn2,P428813,,Legal Transaction
atae-ctn2,P224634,,Administrative Record
atae-ctn2,P428880,,Administrative Record
atae-ctn2,P471641,,Administrative Record
atae-ctn2,P428852,,Administrative Letter
atae-ctn2,P428794,,Legal Transaction
atae-ctn2,P224548,,Administrative Letter
atae-ctn2,P224510,,Administrative Record
atae-ctn2,P224551,,Administrative Letter
atae-ctn2,P428838,,Administrative Record
atae-ctn2,P224635,,Administrative Record
atae-ctn2,P224631,,Administrative Record
atae-ctn2,P428860,,Legal Transaction
atae-ctn2,P224614,,Administrative Record
atae-ctn2,P224517,,Legal Transaction
atae-ctn2,P224603,,Legal Transaction
atae-ctn2,P224509,,Legal Transaction
atae-ctn2,P224594,,Legal Transaction
atae-ctn2,P428859,,Legal Transaction
atae-ctn2,P224571,,Legal Transaction
atae-ctn2,P428799,,Legal Transaction
atae-ctn2,P224601,,Legal Transaction
atae-ctn2,P428835,,Administrative Letter
atae-ctn2,P428856,,Administrative Record
atae-ctn2,P471613,,Administrative Record
atae-ctn2,P224529,,Legal Transaction
atae-ctn2,P224549,,Administrative Letter
atae-ctn2,P471629,,Administrative Letter
atae-ctn2,P224600,,Legal Transaction
atae-ctn2,P224628,,Administrative Record
atae-ctn2,P471635,,Administrative Letter
atae-ctn2,P471616,,Administrative Record
atae-ctn2,P471633,,Administrative Letter
atae-ctn2,P428871,,Administrative Record
atae-ctn2,P428790,,Legal Transaction
atae-ctn2,P224512,,Administrative Record
atae-ctn2,P471617,,Administrative Record
atae-ctn2,P224573,,Administrative Record
atae-ctn2,P224641,,Legal Transaction
atae-ctn2,P428823,,Legal Transaction
atae-ctn2,P469183,,Legal Transaction
atae-ctn2,P224595,,Legal Transaction
atae-ctn2,X001002,,Legal Transaction
atae-ctn2,P471626,,Administrative Letter
atae-ctn2,P428830,,Legal Transaction
atae-ctn2,P224652,,Administrative Record
atae-ctn2,P428822,,Legal Transaction
